Image,True Class,Predicted Class,Confidence
ISIC_0028123,bkl,vasc,0.98572135
ISIC_0027631,bcc,nv,0.96949995
ISIC_0027930,akiec,nv,0.96480787
ISIC_0027909,nv,mel,0.9613993
ISIC_0024489,bkl,mel,0.9594618
ISIC_0026069,bkl,nv,0.9585627
ISIC_0025069,akiec,nv,0.94777554
ISIC_0028745,nv,vasc,0.94629145
ISIC_0025637,akiec,nv,0.9304527
ISIC_0024704,nv,vasc,0.9295631
ISIC_0029052,df,vasc,0.9152041
ISIC_0026993,mel,vasc,0.88920474
ISIC_0028015,nv,vasc,0.88726485
ISIC_0025383,bcc,vasc,0.8843811
ISIC_0025277,mel,vasc,0.88324034
ISIC_0027288,nv,vasc,0.8607063
ISIC_0024434,nv,vasc,0.8509616
ISIC_0027875,bkl,mel,0.8503385
ISIC_0027131,nv,mel,0.8461344
ISIC_0024688,mel,nv,0.8320169
ISIC_0028098,nv,mel,0.82548624
ISIC_0026725,nv,mel,0.82337177
ISIC_0028614,nv,vasc,0.8137099
ISIC_0024858,nv,vasc,0.8116705
ISIC_0028388,bkl,vasc,0.7815833
ISIC_0024380,nv,mel,0.75638664
ISIC_0025781,bkl,mel,0.730976
ISIC_0027700,akiec,nv,0.7187177
ISIC_0027034,nv,mel,0.7070819
ISIC_0026675,bkl,nv,0.6885617
ISIC_0029197,nv,mel,0.6700325
ISIC_0026601,nv,mel,0.6503625
ISIC_0026455,nv,mel,0.6400344
ISIC_0027948,nv,mel,0.63684016
ISIC_0027243,nv,mel,0.59572303
ISIC_0027431,nv,vasc,0.5801442
ISIC_0025504,df,nv,0.5776913
ISIC_0025421,nv,bkl,0.56570214
ISIC_0026313,df,mel,0.56228036
ISIC_0026984,akiec,mel,0.55959636
ISIC_0026406,nv,mel,0.5579844
ISIC_0024896,nv,vasc,0.52601975
ISIC_0025958,nv,mel,0.5240591
ISIC_0027167,bkl,nv,0.5098155
ISIC_0028278,nv,vasc,0.50573957
ISIC_0027574,nv,vasc,0.49880055
ISIC_0026532,bkl,bcc,0.4742764
ISIC_0027915,bcc,vasc,0.46811435
ISIC_0024537,mel,nv,0.4331937
ISIC_0025594,df,vasc,0.38408265
ISIC_0027172,akiec,vasc,0.2882115
ISIC_0026154,bcc,bkl,0.282033
